disgust		2017-03-16 19:47:49 +0100	842447327436640256		@Its_within	en	photon	Innocent ppl  r being Duped n their Culture being DESTROYED! All to 'harvest' few souls for their cause! #Disgust… https://t.co/taPUhzXjAl	-1;-1	n/a	[]
disgust		2017-02-17 04:05:43 +0100	832425768600928257		@jenbonduant	en	Jennifer	When will it end #resist #disgust https://t.co/QanLys3dab	-1;-1	Dublin, OH; United States	[http://pbs.twimg.com/media/C41e0c4W8AArDyf.jpg]
disgust		2017-04-30 20:27:05 +0200	858749566044319745		@VarunPrakash31	en	Varun Prakash	@nistula Why don't you put this pic of yours as DP ???? #Disgust #Ugly https://t.co/aMMxwXzUbY	-1;-1	n/a	[http://pbs.twimg.com/media/C-ritYAWsAAqe_H.jpg]
disgust	#disgust	2017-04-08 23:24:30 +0200	850821680586948612		@chiri_37	en	Eduardo	Downtown Milwaukee infested with Cubs fans... #Disgust	-1;-1	n/a	[]
disgust	#shame	2017-04-06 16:11:33 +0200	849987949412454400		@youtookmyname7	en	Shanna ??	#PartyOverCountry #Disgusting #Shame #EMBARASSMENT https://t.co/hHYBWNnexU	-1;-1	n/a	[]
disgust	#disgust	2017-03-31 22:57:57 +0200	847915896106516483		@mr_dull_socks	en	Mr Dull Socks	Robots in the future will bring homicide right to your doorstep. ??#disgust #selfishness[NEWLINE][NEWLINE]https://t.co/Ja4El6kcLo	-1;-1	n/a	[]
disgust		2017-04-06 23:04:53 +0200	850091967191166978		@LynnLittrelll1	en	Lynn Littrell	Senate GOP triggers nuclear option to break Democratic filibuster on Gorsuch - CNN#Sad#Bad#Disgusting#Ridiculous https://t.co/ebSqnxJfv4	-1;-1	n/a	[]
disgust		2017-03-18 16:13:16 +0100	843118109909307392		@red16327	en	Ronald Davis	#Disgust: For #breakfast this #morning, I am going to use the #tivobolt to #access #Youtube to watch  #Merkel and #Trump on the big screen!	-1;-1	n/a	[]
disgust	#disguise	2017-02-19 19:04:53 +0100	833376824637939712		@JewishEncore	en	Jewish Encore	Great gig today! @EncoreEntUK #JewishSupriseSingingWaiters #Simchas #JewishWeddings #MazalTov #Chef #disguise https://t.co/cNM3r908Gw	-1;-1	n/a	[http://pbs.twimg.com/ext_tw_video_thumb/833376689250004997/pu/img/LgKJTEHm_VFgNZmc.jpg]
disgust	#disgust	2017-02-19 20:28:40 +0100	833397909961981953		@namidehya	en	Nami Dehya	@America_1st_ @frietzsche2000 Makes you wonder what horrors surround her existence. Personally I want her nowhere near my family. #Disgust??	-1;-1	n/a	[]
